========================================
Critical Point Analysis (DIM=3)
========================================

p_c values from each run:
Run 1: 0.565657
Run 2: 0.585859
Run 3: 0.575758
Run 4: 0.575758
Run 5: 0.575758
Run 6: 0.565657
Run 7: 0.525253
Run 8: 0.575758
Run 9: 0.575758
Run 10: 0.565657
Run 11: 0.565657
Run 12: 0.555556
Run 13: 0.575758
Run 14: 0.555556
Run 15: 0.565657
Run 16: 0.565657
Run 17: 0.565657
Run 18: 0.575758
Run 19: 0.575758
Run 20: 0.575758
Run 21: 0.575758
Run 22: 0.565657
Run 23: 0.555556
Run 24: 0.575758
Run 25: 0.565657
Run 26: 0.555556
Run 27: 0.585859
Run 28: 0.565657
Run 29: 0.565657
Run 30: 0.565657
Run 31: 0.585859
Run 32: 0.565657
Run 33: 0.585859
Run 34: 0.565657
Run 35: 0.565657
Run 36: 0.575758
Run 37: 0.555556
Run 38: 0.575758
Run 39: 0.565657
Run 40: 0.575758
Run 41: 0.555556
Run 42: 0.555556
Run 43: 0.585859
Run 44: 0.565657
Run 45: 0.575758
Run 46: 0.575758
Run 47: 0.575758
Run 48: 0.575758
Run 49: 0.555556
Run 50: 0.565657

Average p_c: 0.568889
Standard deviation: 0.010774

========================================
Test Performance Metrics (DIM=3)
========================================

System: 3^2, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
 30 | 0.8900 | 0.9060 | 0.2902
 31 | 0.8400 | 0.8004 | 0.2063
 32 | 0.8700 | 0.9165 | 0.4633
 33 | 0.8400 | 0.7309 | 0.0947
 34 | 0.8700 | 0.8419 | 0.3183
 35 | 0.9300 | 0.8872 | 0.2041
 36 | 0.8700 | 0.8546 | 0.1887
 37 | 0.7600 | 0.9461 | 0.6614
 38 | 0.8600 | 0.8580 | 0.2315
 39 | 0.8200 | 0.8425 | 0.3365
 40 | 0.9100 | 0.8471 | 0.2143
 41 | 0.7800 | 0.9402 | 0.4930
 42 | 0.8400 | 0.9213 | 0.4173
 43 | 0.8300 | 0.7086 | 0.0503
 44 | 0.9000 | 0.9059 | 0.2474
 45 | 0.7700 | 0.8377 | 0.4493
 46 | 0.8600 | 0.8464 | 0.2125
 47 | 0.9200 | 0.8755 | 0.2416
 48 | 0.8500 | 0.8328 | 0.3013
 49 | 0.8700 | 0.9038 | 0.3720
 50 | 0.8900 | 0.9044 | 0.3246

Summary Statistics:
Accuracy: 0.8522 ± 0.0514
Avg Perc: 0.8673 ± 0.0647
Avg Non-Perc: 0.3080 ± 0.1592
==================================================

System: 3^5, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.9000 | 0.9779 | 0.2899
  2 | 0.9500 | 0.8814 | 0.0401
  3 | 0.9400 | 0.9794 | 0.1539
  4 | 0.9000 | 0.8512 | 0.0628
  5 | 0.8900 | 0.8041 | 0.0385
  6 | 0.8700 | 0.9800 | 0.3099
  7 | 0.7000 | 0.9895 | 0.9861
  8 | 0.9500 | 0.9147 | 0.0524
  9 | 0.9400 | 0.9629 | 0.1396
 10 | 0.8500 | 0.9140 | 0.2055
 11 | 0.9000 | 0.9630 | 0.2487
 12 | 0.7700 | 0.9881 | 0.4693
 13 | 0.9600 | 0.9433 | 0.0834
 14 | 0.8900 | 0.9843 | 0.3333
 15 | 0.8600 | 0.9785 | 0.3401
 16 | 0.8700 | 0.9604 | 0.2924
 17 | 0.8500 | 0.9857 | 0.4350
 18 | 0.9900 | 0.9611 | 0.0396
 19 | 0.9300 | 0.9392 | 0.1114
 20 | 0.9400 | 0.9559 | 0.1717
 21 | 0.9400 | 0.9340 | 0.1257
 22 | 0.9400 | 0.9813 | 0.1726
 23 | 0.8600 | 0.9841 | 0.3851
 24 | 0.9500 | 0.9650 | 0.1467
 25 | 0.9500 | 0.9853 | 0.1437
 26 | 0.7800 | 0.9875 | 0.5154
 27 | 0.8900 | 0.7832 | 0.0270
 28 | 0.8700 | 0.9480 | 0.2311
 29 | 0.8700 | 0.9894 | 0.2988
 30 | 0.9200 | 0.9784 | 0.2305
 31 | 0.9600 | 0.8808 | 0.0042
 32 | 0.9000 | 0.9670 | 0.2743
 33 | 0.8800 | 0.7742 | 0.0033
 34 | 0.9700 | 0.9671 | 0.0930
 35 | 0.9300 | 0.9335 | 0.1163
 36 | 0.9300 | 0.9529 | 0.1513
 37 | 0.7000 | 0.9899 | 0.7439
 38 | 0.9100 | 0.9035 | 0.1534
 39 | 0.9100 | 0.9599 | 0.2210
 40 | 0.9100 | 0.8811 | 0.1393
 41 | 0.8800 | 0.9905 | 0.3324
 42 | 0.8200 | 0.9787 | 0.4727
 43 | 0.8700 | 0.7627 | 0.0048
 44 | 0.9500 | 0.9571 | 0.1016
 45 | 0.9000 | 0.9559 | 0.1937
 46 | 0.9200 | 0.9233 | 0.1250
 47 | 0.9400 | 0.9335 | 0.1262
 48 | 0.9600 | 0.9474 | 0.1120
 49 | 0.8000 | 0.9874 | 0.4134
 50 | 0.8900 | 0.9801 | 0.2484

Summary Statistics:
Accuracy: 0.8950 ± 0.0617
Avg Perc: 0.9416 ± 0.0576
Avg Non-Perc: 0.2222 ± 0.1863
==================================================



========================================
Critical Point Analysis (DIM=4)
========================================

p_c values from each run:
Run 1: 0.585859
Run 2: 0.585859
Run 3: 0.585859
Run 4: 0.575758
Run 5: 0.565657
Run 6: 0.595960
Run 7: 0.575758
Run 8: 0.595960
Run 9: 0.585859
Run 10: 0.575758
Run 11: 0.575758
Run 12: 0.575758
Run 13: 0.606061
Run 14: 0.585859
Run 15: 0.585859
Run 16: 0.545455
Run 17: 0.565657
Run 18: 0.575758
Run 19: 0.565657
Run 20: 0.585859
Run 21: 0.575758
Run 22: 0.575758
Run 23: 0.555556
Run 24: 0.585859
Run 25: 0.565657
Run 26: 0.575758
Run 27: 0.585859
Run 28: 0.585859
Run 29: 0.565657
Run 30: 0.585859
Run 31: 0.585859
Run 32: 0.585859
Run 33: 0.595960
Run 34: 0.585859
Run 35: 0.585859
Run 36: 0.565657
Run 37: 0.555556
Run 38: 0.565657
Run 39: 0.555556
Run 40: 0.575758
Run 41: 0.575758
Run 42: 0.565657
Run 43: 0.555556
Run 44: 0.575758
Run 45: 0.585859
Run 46: 0.585859
Run 47: 0.595960
Run 48: 0.575758
Run 49: 0.575758
Run 50: 0.565657

Average p_c: 0.577374
Standard deviation: 0.012348

========================================
Test Performance Metrics (DIM=4)
========================================

System: 4^2, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.8000 | 0.6809 | 0.4890
  2 | 0.7300 | 0.6754 | 0.5643
  3 | 0.6400 | 0.6386 | 0.5071
  4 | 0.8100 | 0.6772 | 0.5095
  5 | 0.7500 | 0.6805 | 0.5525
  6 | 0.7200 | 0.6368 | 0.4520
  7 | 0.7400 | 0.6669 | 0.5014
  8 | 0.7200 | 0.6145 | 0.4957
  9 | 0.8400 | 0.6490 | 0.4446
 10 | 0.7900 | 0.6738 | 0.5224
 11 | 0.7800 | 0.6770 | 0.5221
 12 | 0.8400 | 0.6745 | 0.4697
 13 | 0.7900 | 0.5892 | 0.4619
 14 | 0.8100 | 0.6583 | 0.4880
 15 | 0.7600 | 0.6438 | 0.5076
 16 | 0.7500 | 0.7353 | 0.6228
 17 | 0.7300 | 0.6812 | 0.5443
 18 | 0.7700 | 0.6742 | 0.5219
 19 | 0.8200 | 0.6920 | 0.5451
 20 | 0.8400 | 0.6508 | 0.4598
 21 | 0.7900 | 0.6686 | 0.4916
 22 | 0.8500 | 0.6871 | 0.4550
 23 | 0.8000 | 0.7541 | 0.5766
 24 | 0.7200 | 0.6562 | 0.5192
 25 | 0.8600 | 0.7353 | 0.5671
 26 | 0.7200 | 0.6890 | 0.5234
 27 | 0.8400 | 0.6530 | 0.4860
 28 | 0.8400 | 0.6923 | 0.5134
 29 | 0.8100 | 0.6816 | 0.4885
 30 | 0.7800 | 0.6394 | 0.4651
 31 | 0.7300 | 0.6114 | 0.4950
 32 | 0.8000 | 0.6772 | 0.5214
 33 | 0.7400 | 0.6423 | 0.5062
 34 | 0.8300 | 0.6629 | 0.4643
 35 | 0.7800 | 0.6582 | 0.4615
 36 | 0.8000 | 0.7012 | 0.5468
 37 | 0.7900 | 0.7157 | 0.5621
 38 | 0.7900 | 0.6888 | 0.5160
 39 | 0.8000 | 0.7309 | 0.5285
 40 | 0.7500 | 0.6998 | 0.5281
 41 | 0.8000 | 0.6766 | 0.5120
 42 | 0.8700 | 0.6874 | 0.5069
 43 | 0.7800 | 0.7389 | 0.6144
 44 | 0.7600 | 0.7029 | 0.5126
