========================================
Critical Point Analysis (DIM=3)
========================================

p_c values from each run:
Run 1: 0.575758
Run 2: 0.555556
Run 3: 0.585859
Run 4: 0.585859
Run 5: 0.555556
Run 6: 0.565657
Run 7: 0.575758
Run 8: 0.575758
Run 9: 0.575758
Run 10: 0.575758
Run 11: 0.565657
Run 12: 0.555556
Run 13: 0.575758
Run 14: 0.565657
Run 15: 0.575758
Run 16: 0.555556
Run 17: 0.545455
Run 18: 0.555556
Run 19: 0.575758
Run 20: 0.535354
Run 21: 0.525253
Run 22: 0.606061
Run 23: 0.555556
Run 24: 0.565657
Run 25: 0.575758
Run 26: 0.575758
Run 27: 0.555556
Run 28: 0.565657
Run 29: 0.565657
Run 30: 0.555556
Run 31: 0.555556
Run 32: 0.565657
Run 33: 0.555556
Run 34: 0.585859
Run 35: 0.565657
Run 36: 0.575758
Run 37: 0.555556
Run 38: 0.585859
Run 39: 0.565657
Run 40: 0.575758
Run 41: 0.505051
Run 42: 0.575758
Run 43: 0.565657
Run 44: 0.555556
Run 45: 0.585859
Run 46: 0.565657
Run 47: 0.555556
Run 48: 0.575758
Run 49: 0.545455
Run 50: 0.555556

Average p_c: 0.565051
Standard deviation: 0.016463

========================================
Test Performance Metrics (DIM=3)
========================================

System: 3^2, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
 22 | 0.6600 | 0.4442 | 0.0359
 23 | 0.7000 | 0.9404 | 0.6368
 24 | 0.8000 | 0.8739 | 0.3385
 25 | 0.8200 | 0.7694 | 0.2157
 26 | 0.8900 | 0.8910 | 0.2704
 27 | 0.8200 | 0.8945 | 0.4578
 28 | 0.8200 | 0.9315 | 0.4721
 29 | 0.8300 | 0.8618 | 0.3337
 30 | 0.8300 | 0.9141 | 0.4103
 31 | 0.7900 | 0.9280 | 0.5037
 32 | 0.8400 | 0.9167 | 0.4598
 33 | 0.8700 | 0.9533 | 0.5140
 34 | 0.7900 | 0.6289 | 0.0293
 35 | 0.7900 | 0.7426 | 0.2302
 36 | 0.8600 | 0.8602 | 0.2643
 37 | 0.8100 | 0.8978 | 0.3967
 38 | 0.8200 | 0.7611 | 0.1449
 39 | 0.8700 | 0.9060 | 0.3979
 40 | 0.9100 | 0.8494 | 0.1723
 41 | 0.6500 | 0.9893 | 0.9815
 42 | 0.8900 | 0.7990 | 0.1519
 43 | 0.8500 | 0.8646 | 0.3245
 44 | 0.8500 | 0.9567 | 0.4351
 45 | 0.6800 | 0.5945 | 0.0451
 46 | 0.8400 | 0.8734 | 0.4180
 47 | 0.8500 | 0.9024 | 0.3241
 48 | 0.8500 | 0.7751 | 0.1635
 49 | 0.8300 | 0.9381 | 0.5022
 50 | 0.8500 | 0.9048 | 0.3983

Summary Statistics:
Accuracy: 0.8224 ± 0.0619
Avg Perc: 0.8507 ± 0.1081
Avg Non-Perc: 0.3464 ± 0.2135
==================================================

System: 3^5, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.8300 | 0.7285 | 0.0073
  2 | 0.7700 | 0.9826 | 0.5615
  3 | 0.8200 | 0.7424 | 0.0297
  4 | 0.8800 | 0.8618 | 0.0981
  5 | 0.8600 | 0.9851 | 0.3837
  6 | 0.9100 | 0.9850 | 0.2784
  7 | 0.8900 | 0.8685 | 0.0690
  8 | 0.9500 | 0.9423 | 0.1001
  9 | 0.9300 | 0.8798 | 0.0580
 10 | 0.9500 | 0.8921 | 0.0711
 11 | 0.8800 | 0.9550 | 0.2624
 12 | 0.8500 | 0.9638 | 0.4033
 13 | 0.9700 | 0.9336 | 0.0222
 14 | 0.9300 | 0.9866 | 0.1883
 15 | 0.9300 | 0.8980 | 0.0388
 16 | 0.7700 | 0.9894 | 0.5578
 17 | 0.7100 | 0.9935 | 0.7053
 18 | 0.7700 | 0.9845 | 0.5342
 19 | 0.8800 | 0.8076 | 0.0305
 20 | 0.6300 | 0.9845 | 0.8483
 21 | 0.5300 | 0.9913 | 0.9880
 22 | 0.6300 | 0.4309 | 0.0007
 23 | 0.7900 | 0.9917 | 0.5549
 24 | 0.9200 | 0.9818 | 0.2729
 25 | 0.9400 | 0.9162 | 0.0942
 26 | 0.9400 | 0.9262 | 0.0724
 27 | 0.9200 | 0.9761 | 0.2265
 28 | 0.9100 | 0.9753 | 0.3164
 29 | 0.9400 | 0.9735 | 0.1176
 30 | 0.8300 | 0.9874 | 0.3867
 31 | 0.8700 | 0.9827 | 0.3766
 32 | 0.8900 | 0.9767 | 0.2737
 33 | 0.8200 | 0.9818 | 0.4672
 34 | 0.9300 | 0.8557 | 0.0020
 35 | 0.9400 | 0.9670 | 0.1319
 36 | 0.9300 | 0.9544 | 0.1607
 37 | 0.8600 | 0.9591 | 0.3121
 38 | 0.8900 | 0.8193 | 0.0718
 39 | 0.9100 | 0.9779 | 0.2879
 40 | 0.9600 | 0.9648 | 0.1043
 41 | 0.7400 | 0.9914 | 0.9910
 42 | 0.9000 | 0.8413 | 0.0677
 43 | 0.9000 | 0.9721 | 0.2571
 44 | 0.8200 | 0.9885 | 0.4136
 45 | 0.8500 | 0.7064 | 0.0005
 46 | 0.9200 | 0.9537 | 0.2102
 47 | 0.8300 | 0.9874 | 0.3665
 48 | 0.9000 | 0.8452 | 0.0270
 49 | 0.7600 | 0.9764 | 0.5841
 50 | 0.9100 | 0.9583 | 0.2123

Summary Statistics:
Accuracy: 0.8598 ± 0.0913
Avg Perc: 0.9235 ± 0.1011
Avg Non-Perc: 0.2719 ± 0.2495
==================================================



========================================
Critical Point Analysis (DIM=4)
========================================

p_c values from each run:
Run 1: 0.585859
Run 2: 0.565657
Run 3: 0.585859
Run 4: 0.565657
Run 5: 0.575758
Run 6: 0.585859
Run 7: 0.575758
Run 8: 0.555556
Run 9: 0.585859
Run 10: 0.585859
Run 11: 0.575758
Run 12: 0.575758
Run 13: 0.575758
Run 14: 0.595960
Run 15: 0.595960
Run 16: 0.585859
Run 17: 0.565657
Run 18: 0.585859
Run 19: 0.575758
Run 20: 0.595960
Run 21: 0.585859
Run 22: 0.575758
Run 23: 0.575758
Run 24: 0.585859
Run 25: 0.575758
Run 26: 0.575758
Run 27: 0.565657
Run 28: 0.585859
Run 29: 0.585859
Run 30: 0.616162
Run 31: 0.585859
Run 32: 0.595960
Run 33: 0.585859
Run 34: 0.575758
Run 35: 0.585859
Run 36: 0.585859
Run 37: 0.585859
Run 38: 0.606061
Run 39: 0.565657
Run 40: 0.585859
Run 41: 0.575758
Run 42: 0.585859
Run 43: 0.595960
Run 44: 0.585859
Run 45: 0.595960
Run 46: 0.585859
Run 47: 0.575758
Run 48: 0.575758
Run 49: 0.595960
Run 50: 0.575758

Average p_c: 0.582626
Standard deviation: 0.010961

========================================
Test Performance Metrics (DIM=4)
========================================

System: 3^2, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.7900 | 0.6487 | 0.4793
  2 | 0.7900 | 0.7022 | 0.5334
  3 | 0.7400 | 0.6435 | 0.5223
  4 | 0.7300 | 0.7308 | 0.5467
  5 | 0.8300 | 0.7023 | 0.5206
  6 | 0.6600 | 0.6184 | 0.5363
  7 | 0.7700 | 0.6702 | 0.5303
  8 | 0.7200 | 0.7078 | 0.5606
  9 | 0.7700 | 0.6954 | 0.5204
 10 | 0.8100 | 0.6819 | 0.4809
 11 | 0.7300 | 0.6677 | 0.5686
 12 | 0.7700 | 0.7074 | 0.5237
 13 | 0.7600 | 0.6588 | 0.5436
 14 | 0.7700 | 0.6201 | 0.4203
 15 | 0.8300 | 0.6165 | 0.4292
 16 | 0.8400 | 0.6568 | 0.4760
 17 | 0.8200 | 0.6936 | 0.4930
 18 | 0.8000 | 0.6399 | 0.4776
 19 | 0.8200 | 0.6835 | 0.4713
 20 | 0.7600 | 0.6419 | 0.4810
 21 | 0.7800 | 0.6358 | 0.4653
 22 | 0.7900 | 0.6991 | 0.5113
 23 | 0.7000 | 0.6417 | 0.5471
 24 | 0.7200 | 0.6177 | 0.4713
 25 | 0.6900 | 0.6633 | 0.5362
 26 | 0.7600 | 0.6812 | 0.5554
 27 | 0.7300 | 0.6831 | 0.5405
 28 | 0.8000 | 0.6459 | 0.4936
 29 | 0.7500 | 0.6506 | 0.4613
 30 | 0.7000 | 0.5603 | 0.4356
 31 | 0.7900 | 0.6176 | 0.4565
 32 | 0.7900 | 0.6050 | 0.4345
 33 | 0.7800 | 0.6665 | 0.4894
 34 | 0.8300 | 0.6687 | 0.5236
 35 | 0.7800 | 0.6656 | 0.4929
 36 | 0.8400 | 0.6790 | 0.4986
 37 | 0.7500 | 0.6780 | 0.5063
 38 | 0.7400 | 0.6006 | 0.4426
 39 | 0.8500 | 0.6977 | 0.4743
 40 | 0.6800 | 0.6133 | 0.4991
 41 | 0.7800 | 0.6587 | 0.5276
 42 | 0.7500 | 0.6588 | 0.5314
 43 | 0.8200 | 0.6399 | 0.4540
 44 | 0.7700 | 0.6496 | 0.5141
 45 | 0.7900 | 0.6713 | 0.4713
 46 | 0.7100 | 0.6362 | 0.4908
 47 | 0.8100 | 0.6822 | 0.5097
 48 | 0.7400 | 0.6896 | 0.5059
 49 | 0.8400 | 0.6439 | 0.4719
 50 | 0.7800 | 0.6857 | 0.5219

Summary Statistics:
Accuracy: 0.7710 ± 0.0450
Avg Perc: 0.6595 ± 0.0331
Avg Non-Perc: 0.4990 ± 0.0362
==================================================

System: 3^3, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.8700 | 0.7761 | 0.3178
  2 | 0.7400 | 0.8805 | 0.5690
  3 | 0.8100 | 0.7200 | 0.3027
  4 | 0.7400 | 0.8596 | 0.5602
  5 | 0.7900 | 0.7973 | 0.4973
  6 | 0.8600 | 0.6994 | 0.2608
  7 | 0.8100 | 0.7697 | 0.3943
  8 | 0.8100 | 0.8899 | 0.6051
  9 | 0.9000 | 0.8080 | 0.3006
 10 | 0.8500 | 0.7631 | 0.3075
 11 | 0.8100 | 0.7615 | 0.4194
 12 | 0.8200 | 0.8421 | 0.4785
 13 | 0.8100 | 0.7611 | 0.3949
 14 | 0.7600 | 0.5973 | 0.2201
 15 | 0.7400 | 0.6151 | 0.2073
 16 | 0.8200 | 0.7016 | 0.2184
 17 | 0.8100 | 0.8412 | 0.5530
 18 | 0.8600 | 0.7031 | 0.2657
 19 | 0.8300 | 0.7419 | 0.3497
 20 | 0.8400 | 0.7203 | 0.2501
 21 | 0.8100 | 0.6838 | 0.2510
 22 | 0.8100 | 0.8117 | 0.3880
 23 | 0.8600 | 0.7749 | 0.4041
 24 | 0.8500 | 0.6764 | 0.2314
 25 | 0.8100 | 0.7698 | 0.4600
 26 | 0.9100 | 0.8061 | 0.3228
 27 | 0.9000 | 0.8170 | 0.3563
 28 | 0.8600 | 0.6988 | 0.2137
 29 | 0.8400 | 0.6983 | 0.2374
 30 | 0.6300 | 0.4497 | 0.0960
 31 | 0.8200 | 0.6581 | 0.3245
 32 | 0.8000 | 0.6131 | 0.1299
 33 | 0.8500 | 0.7371 | 0.3303
 34 | 0.8100 | 0.7377 | 0.4440
 35 | 0.8600 | 0.7357 | 0.2755
 36 | 0.8500 | 0.7815 | 0.3762
 37 | 0.8500 | 0.7557 | 0.2480
 38 | 0.7000 | 0.4769 | 0.0999
 39 | 0.8300 | 0.8395 | 0.4279
 40 | 0.8600 | 0.7272 | 0.2566
 41 | 0.8500 | 0.7208 | 0.2836
 42 | 0.8600 | 0.7723 | 0.3078
 43 | 0.8000 | 0.6729 | 0.2163
 44 | 0.8500 | 0.7542 | 0.2311
 45 | 0.8700 | 0.7334 | 0.2593
 46 | 0.8200 | 0.7291 | 0.3289
 47 | 0.7600 | 0.7795 | 0.4343
 48 | 0.8100 | 0.8724 | 0.4680
 49 | 0.8000 | 0.6857 | 0.2946
 50 | 0.8200 | 0.8276 | 0.4687

Summary Statistics:
Accuracy: 0.8206 ± 0.0499
