========================================
Critical Point Analysis (DIM=3)
========================================

p_c values from each run:
Run 1: 0.575758
Run 2: 0.626263
Run 3: 0.555556
Run 4: 0.606061
Run 5: 0.595960
Run 6: 0.545455
Run 7: 0.595960
Run 8: 0.595960
Run 9: 0.565657
Run 10: 0.595960
Run 11: 0.555556
Run 12: 0.565657
Run 13: 0.565657
Run 14: 0.585859
Run 15: 0.555556
Run 16: 0.555556
Run 17: 0.555556
Run 18: 0.565657
Run 19: 0.555556
Run 20: 0.585859
Run 21: 0.646465
Run 22: 0.585859
Run 23: 0.585859
Run 24: 0.535354
Run 25: 0.626263
Run 26: 0.565657
Run 27: 0.545455
Run 28: 0.565657
Run 29: 0.565657
Run 30: 0.575758
Run 31: 0.585859
Run 32: 0.595960
Run 33: 0.545455
Run 34: 0.646465
Run 35: 0.555556
Run 36: 0.555556
Run 37: 0.565657
Run 38: 0.585859
Run 39: 0.545455
Run 40: 0.565657
Run 41: 0.545455
Run 42: 0.555556
Run 43: 0.535354
Run 44: 0.585859
Run 45: 0.575758
Run 46: 0.575758
Run 47: 0.555556
Run 48: 0.585859
Run 49: 0.515152
Run 50: 0.575758

Average p_c: 0.573131
Standard deviation: 0.026480

========================================
Test Performance Metrics (DIM=3)
========================================

System: 3^2, p-range: 0.1-0.9
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
 27 | 0.9400 | 0.8676 | 0.0138
 28 | 0.9300 | 0.9902 | 0.1142
 29 | 0.9800 | 0.9537 | 0.0296
 30 | 0.9600 | 0.9721 | 0.0576
 31 | 0.9200 | 0.9923 | 0.1397
 32 | 0.9700 | 0.9549 | 0.0328
 33 | 0.9800 | 0.9449 | 0.0334
 34 | 0.9700 | 0.9013 | 0.0089
 35 | 0.9900 | 0.9400 | 0.0031
 36 | 1.0000 | 0.9716 | 0.0285
 37 | 0.9700 | 0.9222 | 0.0124
 38 | 0.9800 | 0.9245 | 0.0138
 39 | 0.9900 | 0.9198 | 0.0172
 40 | 1.0000 | 0.9595 | 0.0210
 41 | 0.9700 | 0.9436 | 0.0292
 42 | 0.9800 | 0.9708 | 0.0498
 43 | 0.9700 | 0.9599 | 0.0636
 44 | 0.9600 | 0.9454 | 0.0555
 45 | 0.9600 | 0.9896 | 0.0571
 46 | 0.9600 | 0.9744 | 0.0664
 47 | 0.9700 | 0.9350 | 0.0146
 48 | 0.9600 | 0.9668 | 0.0740
 49 | 0.9900 | 0.9554 | 0.0327
 50 | 0.9700 | 0.9379 | 0.0145

Summary Statistics:
Accuracy: 0.9714 ± 0.0229
Avg Perc: 0.9473 ± 0.0315
Avg Non-Perc: 0.0380 ± 0.0333
==================================================

System: 3^4, p-range: 0.1-0.9
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.9600 | 0.8870 | 0.0024
  2 | 0.9800 | 0.9233 | 0.0087
  3 | 0.9900 | 0.9809 | 0.0383
  4 | 0.9900 | 0.9830 | 0.0149
  5 | 0.9900 | 0.9653 | 0.0004
  6 | 0.9900 | 0.9650 | 0.0054
  7 | 0.9900 | 0.9915 | 0.0231
  8 | 0.9900 | 0.9899 | 0.0170
  9 | 0.9800 | 0.9382 | 0.0004
 10 | 0.9900 | 0.9883 | 0.0252
 11 | 0.9800 | 0.9792 | 0.0313
 12 | 1.0000 | 0.9921 | 0.0031
 13 | 0.9500 | 0.9923 | 0.0712
 14 | 0.9800 | 0.9925 | 0.0245
 15 | 0.9900 | 0.9786 | 0.0094
 16 | 0.9900 | 0.9386 | 0.0006
 17 | 0.8800 | 0.9955 | 0.2123
 18 | 0.9800 | 0.9929 | 0.0321
 19 | 0.9800 | 0.9879 | 0.0431
 20 | 0.9600 | 0.9910 | 0.0522
 21 | 1.0000 | 0.9802 | 0.0016
 22 | 0.9700 | 0.9946 | 0.0389
 23 | 0.9900 | 0.9599 | 0.0008
 24 | 0.9700 | 0.9103 | 0.0005
 25 | 0.9800 | 0.9322 | 0.0014
 26 | 0.9700 | 0.9042 | 0.0014
 27 | 0.9700 | 0.9197 | 0.0008
 28 | 0.9400 | 0.9950 | 0.1141
 29 | 0.9900 | 0.9756 | 0.0182
 30 | 0.9900 | 0.9799 | 0.0101
 31 | 0.9300 | 0.9960 | 0.1065
 32 | 0.9900 | 0.9899 | 0.0180
 33 | 0.9900 | 0.9908 | 0.0138
 34 | 0.9600 | 0.9196 | 0.0012
 35 | 0.9800 | 0.9405 | 0.0015
 36 | 1.0000 | 0.9857 | 0.0013
 37 | 1.0000 | 0.9644 | 0.0030
 38 | 0.9700 | 0.9103 | 0.0007
 39 | 0.9800 | 0.9507 | 0.0008
 40 | 0.9900 | 0.9822 | 0.0187
 41 | 0.9900 | 0.9837 | 0.0171
 42 | 0.9800 | 0.9943 | 0.0363
 43 | 1.0000 | 0.9937 | 0.0030
 44 | 0.9900 | 0.9898 | 0.0208
 45 | 0.9100 | 0.9949 | 0.1313
 46 | 0.9700 | 0.9880 | 0.0616
 47 | 0.9800 | 0.9379 | 0.0008
 48 | 0.9300 | 0.9888 | 0.1126
 49 | 0.9700 | 0.9487 | 0.0149
 50 | 1.0000 | 0.9744 | 0.0089

Summary Statistics:
Accuracy: 0.9764 ± 0.0236
Avg Perc: 0.9686 ± 0.0294
Avg Non-Perc: 0.0275 ± 0.0415
==================================================



